Polling_firm,PollDate,LPC,CPC,NDP,BQ,GPC,PPC,SampleSize,mode,NumDays,Other,pollster_id,mode_id
Nanos Research,2021-06-18,0.374,0.254,0.182,0.07,0.065,0.042,1000,telephone,607,0.0129999999999999,5,3
Abacus Data,2021-06-16,0.34,0.29,0.21,0.08,0.06,0.01,1500,Online,605,0.010000000000000009,2,1
Research Co.,2021-06-14,0.38,0.3,0.2,0.05,0.05,0.01,1000,Online,603,0.010000000000000009,9,1
EKOS,2021-06-14,0.35,0.262,0.17300000000000001,0.066,0.083,0.039,1412,IVR,603,0.027000000000000024,6,2
Nanos Research,2021-06-11,0.375,0.264,0.175,0.07400000000000001,0.07,0.036000000000000004,1000,telephone,600,0.005999999999999783,5,3
Counsel,2021-06-04,0.319,0.276,0.179,0.077,0.069,0.042,3175,Online,593,0.038000000000000034,10,1
Nanos Research,2021-06-04,0.38,0.273,0.171,0.066,0.061,0.039,1000,telephone,593,0.009999999999999898,5,3
Abacus Data,2021-05-28,0.34,0.31,0.17,0.07,0.07,0.02,2000,Online,586,0.019999999999999796,2,1
Nanos Research,2021-05-28,0.382,0.273,0.17,0.077,0.061,0.031,1000,telephone,586,0.005999999999999894,5,3
EKOS,2021-05-27,0.354,0.278,0.179,0.055999999999999994,0.07,0.04,1948,IVR,585,0.02299999999999991,6,2
Nanos Research,2021-05-21,0.369,0.287,0.161,0.07200000000000001,0.07,0.036000000000000004,1000,telephone,579,0.004999999999999893,5,3
Nanos Research,2021-05-14,0.369,0.284,0.16699999999999998,0.075,0.063,0.035,1000,telephone,572,0.007000000000000006,5,3
Abacus Data,2021-05-12,0.34,0.32,0.17,0.06,0.07,0.03,1500,Online,570,0.009999999999999787,2,1
Nanos Research,2021-05-07,0.35200000000000004,0.295,0.166,0.085,0.068,0.027999999999999997,1000,telephone,565,0.006000000000000005,5,3
EKOS,2021-05-06,0.36,0.261,0.19699999999999998,0.04,0.071,0.049,1808,IVR,564,0.02200000000000002,6,2
Innovative Research,2021-05-05,0.4,0.27,0.18,0.04,0.07,0.03,2738,Online,563,0.009999999999999787,8,1
Nanos Research,2021-04-30,0.35200000000000004,0.311,0.165,0.073,0.07200000000000001,0.02,1000,telephone,558,0.006999999999999895,5,3
Abacus Data,2021-04-25,0.36,0.29,0.17,0.07,0.07,0.02,2201,Online,553,0.020000000000000018,2,1
Nanos Research,2021-04-23,0.363,0.28800000000000003,0.18100000000000002,0.07200000000000001,0.07200000000000001,0.019,1000,telephone,551,0.004999999999999782,5,3
Nanos Research,2021-04-16,0.361,0.29,0.185,0.068,0.07400000000000001,0.017,1000,telephone,544,0.004999999999999782,5,3
Abacus Data,2021-04-14,0.37,0.29,0.19,0.06,0.06,0.02,1981,Online,542,0.010000000000000009,2,1
Innovative Research,2021-04-13,0.39,0.27,0.17,0.04,0.08,0.04,2390,Online,541,0.009999999999999898,8,1
Nanos Research,2021-04-09,0.376,0.292,0.18899999999999997,0.059000000000000004,0.07,0.012,1000,telephone,537,0.0020000000000000018,5,3
Nanos Research,2021-04-02,0.392,0.27,0.18,0.055999999999999994,0.08,0.015,1000,telephone,530,0.006999999999999895,5,3
Abacus Data,2021-03-30,0.38,0.3,0.17,0.07,0.06,0.01,2000,Online,527,0.010000000000000009,2,1
Nanos Research,2021-03-26,0.387,0.27399999999999997,0.174,0.057999999999999996,0.079,0.02,1000,telephone,523,0.008000000000000007,5,3
Nanos Research,2021-03-19,0.38,0.27699999999999997,0.17,0.059000000000000004,0.08,0.026000000000000002,1000,telephone,516,0.007999999999999896,5,3
Abacus Data,2021-03-17,0.33,0.29,0.19,0.07,0.08,0.03,2000,Online,514,0.009999999999999898,2,1
Research Co.,2021-03-15,0.37,0.28,0.2,0.07,0.06,0.01,1000,Online,512,0.009999999999999787,9,1
Nanos Research,2021-03-12,0.36700000000000005,0.276,0.17,0.055999999999999994,0.085,0.037000000000000005,1000,telephone,509,0.009000000000000008,5,3
Abacus Data,2021-03-05,0.34,0.3,0.18,0.08,0.07,0.02,2000,Online,502,0.010000000000000009,2,1
Nanos Research,2021-03-05,0.348,0.297,0.16899999999999998,0.062,0.07400000000000001,0.040999999999999995,1000,telephone,502,0.008999999999999786,5,3
Ipsos,2021-03-03,0.35,0.28,0.16,0.07,0.1,0.01,1000,Online,500,0.029999999999999916,4,1
Angus Reid,2021-03-03,0.35,0.31,0.19,0.06,0.04,0.02,5004,Online,500,0.030000000000000027,7,1
Nanos Research,2021-02-26,0.35,0.294,0.165,0.062,0.07200000000000001,0.044000000000000004,1000,telephone,495,0.0129999999999999,5,3
Angus Reid,2021-02-19,0.34,0.31,0.2,0.07,0.05,0.02,1987,Online,488,0.009999999999999787,7,1
Nanos Research,2021-02-19,0.35200000000000004,0.29,0.168,0.068,0.07200000000000001,0.043,1000,telephone,488,0.006999999999999784,5,3
Nanos Research,2021-02-12,0.342,0.303,0.17,0.075,0.067,0.033,1000,telephone,481,0.009999999999999898,5,3
Nanos Research,2021-02-05,0.359,0.289,0.16399999999999998,0.07400000000000001,0.07400000000000001,0.031,1000,telephone,474,0.009000000000000008,5,3
Abacus Data,2021-02-03,0.32,0.31,0.18,0.08,0.07,0.02,3930,Online,472,0.020000000000000018,2,1
Nanos Research,2021-01-29,0.35,0.303,0.155,0.085,0.07400000000000001,0.025,1000,telephone,467,0.007999999999999896,5,3
EKOS,2021-01-27,0.34299999999999997,0.309,0.15,0.057,0.077,0.037000000000000005,8575,IVR,465,0.027000000000000024,6,2
Angus Reid,2021-01-24,0.35,0.3,0.2,0.06,0.05,0.01,1559,Online,462,0.030000000000000027,7,1
Nanos Research,2021-01-22,0.363,0.28800000000000003,0.159,0.081,0.078,0.022000000000000002,1000,telephone,460,0.009000000000000008,5,3
Mainstreet Research,2021-01-20,0.39299999999999996,0.319,0.14400000000000002,0.052000000000000005,0.052000000000000005,0.024,3132,IVR,458,0.015999999999999903,3,2
Nanos Research,2021-01-15,0.387,0.27399999999999997,0.157,0.08,0.075,0.02,1000,telephone,453,0.007000000000000006,5,3
Abacus Data,2021-01-12,0.35,0.31,0.17,0.08,0.06,0.01,2000,Online,450,0.020000000000000018,2,1
Nanos Research,2021-01-08,0.402,0.273,0.165,0.067,0.07400000000000001,0.012,1000,telephone,446,0.006999999999999895,5,3
Nanos Research,2021-01-01,0.40399999999999997,0.258,0.182,0.064,0.073,0.015,1000,telephone,439,0.004000000000000115,5,3
Nanos Research,2020-12-25,0.39899999999999997,0.268,0.18,0.065,0.069,0.013999999999999999,1000,telephone,432,0.0050000000000001155,5,3
Nanos Research,2020-12-18,0.381,0.262,0.2,0.063,0.07,0.015,1000,telephone,425,0.009000000000000008,5,3
Mainstreet Research,2020-12-17,0.379,0.332,0.131,0.049,0.067,0.023,1286,IVR,424,0.018999999999999795,3,2
Research Co.,2020-12-14,0.37,0.31,0.2,0.07,0.03,0.01,1000,Online,421,0.010000000000000009,9,1
Nanos Research,2020-12-11,0.368,0.264,0.21100000000000002,0.07,0.063,0.013000000000000001,1000,telephone,418,0.01100000000000001,5,3
Nanos Research,2020-12-04,0.36,0.266,0.2,0.07,0.079,0.011000000000000001,1000,telephone,411,0.013999999999999901,5,3
Angus Reid,2020-11-30,0.34,0.33,0.19,0.06,0.04,0.01,5003,Online,407,0.029999999999999805,7,1
Nanos Research,2020-11-27,0.35700000000000004,0.265,0.19899999999999998,0.06,0.094,0.012,1000,telephone,404,0.013000000000000012,5,3
Mainstreet Research,2020-11-26,0.39,0.317,0.12300000000000001,0.051,0.067,0.033,1341,IVR,403,0.018999999999999795,3,2
EKOS,2020-11-26,0.35,0.313,0.139,0.069,0.068,0.038,5240,IVR,403,0.02299999999999991,6,2
Delphi Polling,2020-11-25,0.38,0.32,0.16,0.06,0.06,0.01,1000,Online,402,0.010000000000000009,11,1
Abacus Data,2020-11-24,0.36,0.3,0.16,0.07,0.05,0.03,2912,Online,401,0.030000000000000027,2,1
Nanos Research,2020-11-20,0.359,0.267,0.196,0.055999999999999994,0.1,0.013000000000000001,1000,telephone,397,0.008999999999999897,5,3
Nanos Research,2020-11-13,0.359,0.264,0.198,0.054000000000000006,0.107,0.013000000000000001,1000,telephone,390,0.0050000000000000044,5,3
Abacus Data,2020-11-12,0.38,0.3,0.15,0.08,0.06,0.02,1664,Online,389,0.010000000000000009,2,1
Nanos Research,2020-11-06,0.376,0.289,0.185,0.049,0.085,0.01,1000,telephone,383,0.005999999999999894,5,3
Nanos Research,2020-10-30,0.395,0.27899999999999997,0.16899999999999998,0.055999999999999994,0.08199999999999999,0.011000000000000001,1000,telephone,376,0.008000000000000007,5,3
Nanos Research,2020-10-23,0.386,0.294,0.156,0.06,0.08199999999999999,0.012,1000,telephone,369,0.01000000000000012,5,3
Mainstreet Research,2020-10-21,0.358,0.34,0.15,0.054000000000000006,0.05,0.034,1328,IVR,367,0.013999999999999901,3,2
EKOS,2020-10-19,0.35200000000000004,0.314,0.13699999999999998,0.057,0.087,0.04,1416,IVR,365,0.0129999999999999,6,2
Nanos Research,2020-10-16,0.385,0.325,0.134,0.06,0.076,0.013999999999999999,1000,telephone,362,0.006000000000000116,5,3
Nanos Research,2020-10-09,0.353,0.332,0.149,0.065,0.079,0.012,1000,telephone,355,0.010000000000000009,5,3
Innovative Research,2020-10-06,0.37,0.31,0.16,0.06,0.05,0.03,2771,Online,352,0.020000000000000018,8,1
Nanos Research,2020-10-02,0.341,0.335,0.166,0.066,0.068,0.018000000000000002,1000,telephone,348,0.005999999999999783,5,3
Abacus Data,2020-09-28,0.35,0.3,0.17,0.06,0.07,0.03,2440,Online,344,0.020000000000000018,2,1
Nanos Research,2020-09-25,0.341,0.342,0.16699999999999998,0.066,0.059000000000000004,0.018000000000000002,1000,telephone,341,0.006999999999999784,5,3
Mainstreet Research,2020-09-24,0.371,0.34600000000000003,0.152,0.048,0.046,0.022000000000000002,1307,IVR,340,0.014999999999999791,3,2
Abacus Data,2020-09-21,0.35,0.32,0.17,0.06,0.08,0.02,1500,Online,337,1.1102230246251565e-16,2,1
Nanos Research,2020-09-18,0.35,0.332,0.174,0.06,0.061,0.015,1000,telephone,334,0.008000000000000118,5,3
Research Co.,2020-09-13,0.38,0.32,0.17,0.08,0.03,0.01,1000,Online,329,0.010000000000000009,9,1
Nanos Research,2020-09-11,0.358,0.301,0.191,0.068,0.06,0.015,1000,telephone,327,0.006999999999999784,5,3
Nanos Research,2020-09-04,0.332,0.311,0.192,0.078,0.076,0.009000000000000001,1000,telephone,320,0.002000000000000113,5,3
Abacus Data,2020-09-03,0.33,0.31,0.18,0.07,0.07,0.03,2289,Online,319,0.009999999999999787,2,1
Angus Reid,2020-09-01,0.35,0.35,0.17,0.07,0.04,0.01,5005,Online,317,0.010000000000000009,7,1
Innovative Research,2020-09-01,0.38,0.28,0.16,0.07,0.07,0.03,2308,Online,317,0.009999999999999787,8,1
Nanos Research,2020-08-28,0.34299999999999997,0.305,0.195,0.076,0.071,0.009000000000000001,1000,telephone,313,0.001000000000000112,5,3
Nanos Research,2020-08-21,0.344,0.3,0.19699999999999998,0.075,0.071,0.011000000000000001,1000,telephone,306,0.002000000000000224,5,3
Abacus Data,2020-08-19,0.36,0.3,0.18,0.06,0.05,0.04,1500,Online,304,0.010000000000000009,2,1
Nanos Research,2020-08-14,0.335,0.315,0.179,0.064,0.086,0.016,1000,telephone,299,0.0050000000000000044,5,3
Mainstreet Research,2020-08-12,0.413,0.289,0.156,0.055,0.052000000000000005,0.021,1594,IVR,297,0.013999999999999901,3,2
Nanos Research,2020-08-07,0.361,0.301,0.17600000000000002,0.064,0.07400000000000001,0.02,1000,telephone,292,0.0040000000000000036,5,3
Nanos Research,2020-07-31,0.34299999999999997,0.297,0.174,0.068,0.083,0.027999999999999997,1000,telephone,285,0.007000000000000117,5,3
Abacus Data,2020-07-29,0.34,0.3,0.17,0.08,0.06,0.02,1500,Online,283,0.030000000000000027,2,1
Nanos Research,2020-07-24,0.33299999999999996,0.299,0.16899999999999998,0.069,0.09300000000000001,0.031,1000,telephone,278,0.006000000000000116,5,3
EKOS,2020-07-22,0.34700000000000003,0.3,0.152,0.065,0.076,0.035,1505,IVR,276,0.02499999999999991,6,2
Innovative Research,2020-07-20,0.4,0.28,0.14,0.07,0.07,0.03,2599,Online,274,0.009999999999999787,8,1
Nanos Research,2020-07-17,0.349,0.289,0.16899999999999998,0.071,0.08800000000000001,0.027999999999999997,1000,telephone,271,0.006000000000000116,5,3
EKOS,2020-07-16,0.332,0.295,0.182,0.066,0.076,0.028999999999999998,694,IVR,270,0.020000000000000018,6,2
Abacus Data,2020-07-16,0.36,0.31,0.16,0.07,0.07,0.02,1500,Online,270,0.010000000000000009,2,1
Nanos Research,2020-07-10,0.359,0.289,0.156,0.067,0.09300000000000001,0.027000000000000003,1000,telephone,264,0.009000000000000008,5,3
Nanos Research,2020-07-03,0.363,0.278,0.16399999999999998,0.061,0.10099999999999999,0.025,1000,telephone,257,0.008000000000000118,5,3
Mainstreet Research,2020-06-26,0.43200000000000005,0.27399999999999997,0.141,0.057,0.048,0.028999999999999998,1283,IVR,250,0.018999999999999906,3,2
Nanos Research,2020-06-26,0.384,0.27,0.14800000000000002,0.065,0.09300000000000001,0.032,1000,telephone,250,0.008000000000000007,5,3
Nanos Research,2020-06-19,0.382,0.261,0.141,0.075,0.095,0.038,1000,telephone,243,0.008000000000000007,5,3
EKOS,2020-06-16,0.405,0.299,0.127,0.051,0.065,0.035,3006,IVR,240,0.017999999999999905,6,2
Nanos Research,2020-06-12,0.368,0.257,0.163,0.07,0.09300000000000001,0.044000000000000004,1000,telephone,236,0.004999999999999893,5,3
Nanos Research,2020-06-05,0.358,0.255,0.16699999999999998,0.081,0.083,0.047,1000,telephone,229,0.009000000000000008,5,3
Nanos Research,2020-05-22,0.353,0.262,0.193,0.066,0.075,0.046,1000,telephone,215,0.004999999999999893,5,3
Nanos Research,2020-05-15,0.36700000000000005,0.263,0.184,0.067,0.07200000000000001,0.040999999999999995,1000,telephone,208,0.005999999999999894,5,3
Nanos Research,2020-05-08,0.369,0.261,0.192,0.061,0.08,0.032,1000,telephone,201,0.0050000000000000044,5,3
Mainstreet Research,2020-05-07,0.433,0.294,0.115,0.057999999999999996,0.059000000000000004,0.03,1404,IVR,200,0.01100000000000001,3,2
EKOS,2020-05-07,0.42700000000000005,0.28300000000000003,0.106,0.067,0.067,0.033,5276,IVR,200,0.017000000000000015,6,2
Research Co.,2020-05-03,0.39,0.3,0.17,0.05,0.07,0.01,1000,Online,196,0.010000000000000009,9,1
Nanos Research,2020-05-01,0.369,0.258,0.19,0.057999999999999996,0.084,0.036000000000000004,1000,telephone,194,0.0050000000000000044,5,3
Nanos Research,2020-04-24,0.382,0.262,0.17,0.069,0.08,0.034,1000,telephone,187,0.0030000000000000027,5,3
Nanos Research,2020-04-17,0.38299999999999995,0.264,0.174,0.07200000000000001,0.07,0.027999999999999997,1000,telephone,180,0.008999999999999897,5,3
Nanos Research,2020-04-10,0.381,0.284,0.157,0.081,0.067,0.02,1000,telephone,173,0.010000000000000009,5,3
Nanos Research,2020-04-03,0.389,0.29100000000000004,0.14800000000000002,0.084,0.065,0.011000000000000001,1000,telephone,166,0.0119999999999999,5,3
Innovative Research,2020-04-02,0.4,0.27,0.15,0.08,0.07,0.02,2059,Online,165,0.010000000000000009,8,1
Nanos Research,2020-03-27,0.361,0.309,0.166,0.07,0.07,0.008,1000,telephone,159,0.016000000000000014,5,3
EKOS,2020-03-26,0.40399999999999997,0.28600000000000003,0.122,0.086,0.059000000000000004,0.022000000000000002,2304,IVR,158,0.02100000000000002,6,2
Nanos Research,2020-03-20,0.348,0.325,0.174,0.06,0.07,0.013000000000000001,1000,telephone,152,0.009999999999999898,5,3
Mainstreet Research,2020-03-17,0.386,0.322,0.111,0.08800000000000001,0.057,0.017,1665,IVR,149,0.019000000000000017,3,2
Nanos Research,2020-03-13,0.37,0.295,0.17600000000000002,0.059000000000000004,0.07400000000000001,0.018000000000000002,1000,telephone,145,0.007999999999999785,5,3
Nanos Research,2020-03-06,0.348,0.324,0.171,0.057999999999999996,0.07400000000000001,0.018000000000000002,1000,telephone,138,0.006999999999999895,5,3
Nanos Research,2020-02-28,0.353,0.35100000000000003,0.15,0.059000000000000004,0.065,0.016,1000,telephone,131,0.006000000000000005,5,3
Nanos Research,2020-02-21,0.33,0.36200000000000004,0.154,0.068,0.066,0.013999999999999999,1000,telephone,124,0.005999999999999783,5,3
Nanos Research,2020-02-14,0.327,0.361,0.155,0.071,0.07,0.011000000000000001,1000,telephone,117,0.0050000000000000044,5,3
Nanos Research,2020-02-07,0.33399999999999996,0.355,0.13699999999999998,0.078,0.08,0.01,1000,telephone,110,0.006000000000000116,5,3
Nanos Research,2020-01-31,0.332,0.331,0.16399999999999998,0.077,0.079,0.011000000000000001,1000,telephone,103,0.006000000000000116,5,3
Nanos Research,2020-01-24,0.33799999999999997,0.31,0.16699999999999998,0.083,0.08900000000000001,0.009000000000000001,1000,telephone,96,0.004000000000000115,5,3
Abacus Data,2020-01-17,0.34,0.3,0.17,0.06,0.08,0.03,1500,Online,89,0.019999999999999907,2,1
Mainstreet Research,2020-01-17,0.39799999999999996,0.324,0.106,0.066,0.054000000000000006,0.027999999999999997,1470,IVR,89,0.02400000000000002,3,2
Nanos Research,2020-01-17,0.341,0.308,0.16399999999999998,0.081,0.086,0.012,1000,telephone,89,0.008000000000000118,5,3
Nanos Research,2020-01-10,0.322,0.315,0.17800000000000002,0.081,0.081,0.017,1000,telephone,82,0.006000000000000005,5,3
Nanos Research,2020-01-03,0.337,0.313,0.17,0.071,0.08800000000000001,0.013999999999999999,1000,telephone,75,0.007000000000000006,5,3
Nanos Research,2019-12-27,0.34700000000000003,0.314,0.16399999999999998,0.063,0.08800000000000001,0.017,1000,telephone,68,0.007000000000000117,5,3
Nanos Research,2019-12-20,0.34700000000000003,0.29600000000000004,0.177,0.06,0.098,0.013999999999999999,1000,telephone,61,0.007999999999999896,5,3
Abacus Data,2019-12-16,0.33,0.3,0.18,0.07,0.08,0.02,1500,Online,57,0.019999999999999907,2,1
Nanos Research,2019-12-13,0.33799999999999997,0.305,0.187,0.05,0.102,0.009000000000000001,1000,telephone,54,0.008999999999999897,5,3
EKOS,2019-12-10,0.311,0.29600000000000004,0.168,0.057999999999999996,0.098,0.042,2339,IVR,51,0.027000000000000024,6,2
Nanos Research,2019-12-06,0.336,0.31,0.175,0.067,0.098,0.006,1000,telephone,47,0.008000000000000118,5,3
Nanos Research,2019-11-29,0.341,0.313,0.171,0.064,0.095,0.008,1000,telephone,40,0.008000000000000007,5,3
Leger,2019-11-25,0.32,0.3,0.19,0.07,0.07,0.03,3040,Online,36,0.019999999999999796,1,1
Nanos Research,2019-11-22,0.337,0.309,0.172,0.068,0.09300000000000001,0.013999999999999999,1000,telephone,33,0.006999999999999895,5,3
Nanos Research,2019-11-15,0.32799999999999996,0.308,0.19,0.076,0.073,0.019,1000,telephone,26,0.006000000000000227,5,3
Nanos Research,2019-11-08,0.318,0.313,0.19899999999999998,0.069,0.076,0.021,1000,telephone,19,0.0040000000000000036,5,3
Nanos Research,2019-11-01,0.311,0.325,0.19,0.067,0.085,0.018000000000000002,1000,telephone,12,0.0040000000000000036,5,3
Nanos Research,2019-10-25,0.317,0.325,0.20800000000000002,0.07200000000000001,0.06,0.015,1000,telephone,5,0.0029999999999997806,5,3
Nanos Research,2021-09-19,0.324,0.312,0.175,0.075,0.045,0.066,832,telephone,700,0.0030000000000001137,5,3
Forum Research,2021-09-19,0.294,0.33,0.162,0.069,0.028999999999999998,0.10300000000000001,1181,IVR,700,0.013000000000000012,12,2
Mainstreet Research,2021-09-19,0.33399999999999996,0.304,0.18100000000000002,0.06,0.021,0.09300000000000001,2211,IVR,700,0.007000000000000006,3,2
Abacus Data,2021-09-19,0.31,0.32,0.19,0.07,0.04,0.06,2431,Online,700,0.009999999999999787,2,1
